Modelo,Pooling,Nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC
roberta-base,_mean_exclude_cls_sep-3,0,"{'devacc': np.float64(79.61), 'acc': np.float64(79.42), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.65), 'acc': np.float64(84.16), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.84), 'acc': np.float64(93.72), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.15), 'acc': np.float64(88.09), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.37), 'acc': 85.06, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(45.96), 'acc': 45.79, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.44), 'acc': 91.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.52), 'acc': 75.36, 'f1': 82.65, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_concat_cls_with_mean-3,0,"{'devacc': np.float64(79.69), 'acc': np.float64(79.35), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.45), 'acc': np.float64(84.0), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.86), 'acc': np.float64(93.61), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.84), 'acc': np.float64(87.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.49), 'acc': 84.18, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(45.96), 'acc': 46.65, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.75), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.81), 'acc': 75.13, 'f1': 82.75, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_concat_cls_with_mean_exclude_cls_sep-3,0,"{'devacc': np.float64(79.59), 'acc': np.float64(79.51), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.66), 'acc': np.float64(84.45), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.84), 'acc': np.float64(93.79), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.12), 'acc': np.float64(88.02), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.37), 'acc': 85.12, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(45.59), 'acc': 45.75, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.49), 'acc': 91.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.56), 'acc': 75.65, 'f1': 83.16, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_concat_mean_3_tokens-3,0,"{'devacc': np.float64(79.45), 'acc': np.float64(79.4), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.4), 'acc': np.float64(83.71), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.93), 'acc': np.float64(94.01), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.31), 'acc': np.float64(88.48), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.88), 'acc': 83.31, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.78), 'acc': 45.97, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(88.35), 'acc': 89.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.89), 'acc': 70.2, 'f1': 79.05, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_concat_mean_3_tokens_exclude_cls_and_sep-3,0,"{'devacc': np.float64(79.45), 'acc': np.float64(79.32), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.08), 'acc': np.float64(83.87), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.95), 'acc': np.float64(93.95), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.69), 'acc': np.float64(87.71), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.19), 'acc': 82.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.32), 'acc': 45.11, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(88.32), 'acc': 90.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.55), 'acc': 68.23, 'f1': 77.41, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_concat_mean_5_tokens-3,0,"{'devacc': np.float64(79.08), 'acc': np.float64(78.88), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.68), 'acc': np.float64(81.88), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.9), 'acc': np.float64(93.93), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.07), 'acc': np.float64(87.06), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.19), 'acc': 82.1, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.69), 'acc': 42.71, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(89.38), 'acc': 89.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.17), 'acc': 69.45, 'f1': 79.24, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_concat_mean_5_tokens_exclude_cls_and_sep-3,0,"{'devacc': np.float64(79.02), 'acc': np.float64(78.95), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.46), 'acc': np.float64(82.04), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.86), 'acc': np.float64(93.82), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.65), 'acc': 81.93, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.05), 'acc': 44.25, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(88.76), 'acc': 90.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.19), 'acc': 67.65, 'f1': 76.79, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_cls-4,0,"{'devacc': np.float64(71.51), 'acc': np.float64(71.51), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(68.35), 'acc': np.float64(69.59), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(88.72), 'acc': np.float64(88.72), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(73.78), 'acc': np.float64(73.18), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(78.21), 'acc': 80.45, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(37.69), 'acc': 39.14, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(57.98), 'acc': 56.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.11), 'acc': 69.39, 'f1': 79.98, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_mean-4,0,"{'devacc': np.float64(81.3), 'acc': np.float64(81.08), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.79), 'acc': np.float64(86.33), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.47), 'acc': np.float64(94.31), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.07), 'acc': np.float64(88.01), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.98), 'acc': 85.89, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(45.96), 'acc': 47.19, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(86.7), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.88), 'acc': 76.7, 'f1': 83.61, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_mean_exclude_cls_sep-4,0,"{'devacc': np.float64(81.27), 'acc': np.float64(80.99), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.86), 'acc': np.float64(86.36), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.49), 'acc': np.float64(94.31), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.21), 'acc': np.float64(88.27), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.17), 'acc': 86.55, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(46.14), 'acc': 46.88, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(86.68), 'acc': 92.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.78), 'acc': 76.75, 'f1': 83.56, 'ndev': 4076, 'ntest': 1725}"
