,Modelo,Pooling,out_emb_size,epochs,qtd_layers,nhid,STS12,STS13,STS14,STS15,STS16,Avg
237,roberta-base,DY5-NS_LYR-10,torch.Size([3840]),1,12,0,42.54920701429993,3.597752623739256,15.74345966991543,30.265564439714275,24.6215516842909,23.35550708639196
238,roberta-base,CLS_LYR-11,torch.Size([768]),1,12,0,43.44426196838815,21.09710625537176,38.95486189287845,44.62748794547372,54.71738571417282,40.568220755256974
239,roberta-base,AVG_LYR-11,torch.Size([768]),1,12,0,40.31755858026537,17.954673059656624,24.861039735266388,33.41930047154048,46.14298693673515,32.539111756692805
240,roberta-base,SUM_LYR-11,torch.Size([768]),1,12,0,40.325824033274884,17.954635558200383,24.860719318116175,33.41926089849697,46.14570525087103,32.54122901179189
241,roberta-base,MAX_LYR-11,torch.Size([768]),1,12,0,49.41735255029142,33.149353883618446,49.3885981002283,59.58807626460379,57.65118642600107,49.8389134449486
242,roberta-base,AVG-NS_LYR-11,torch.Size([768]),1,12,0,39.943154969523285,17.831159740158377,24.795377863632016,32.9555345754723,46.20910529727462,32.34686648921212
243,roberta-base,SUM-NS_LYR-11,torch.Size([768]),1,12,0,39.95146052902275,17.831159740158377,24.796849580907306,32.95480004460739,46.209113868185284,32.348676752576225
244,roberta-base,MAX-NS_LYR-11,torch.Size([768]),1,12,0,45.01067461540267,33.08991405064824,47.65484858113143,48.844346213571846,56.1415141776161,46.14825952767406
245,roberta-base,CLS+AVG_LYR-11,torch.Size([1536]),1,12,0,40.388068032655056,18.12667532669879,25.378384387373714,33.88706095891237,46.48062668551517,32.852163078231015
246,roberta-base,CLS+SUM_LYR-11,torch.Size([1536]),1,12,0,40.333796841889516,17.945837425295398,24.86019821654282,33.41666316231455,46.137044560100335,32.538708041228524
247,roberta-base,CLS+MAX_LYR-11,torch.Size([1536]),1,12,0,49.095583904273944,32.359164102641074,48.637323705585715,58.523006699231125,57.382488893931516,49.199513461132675
248,roberta-base,CLS+AVG-NS_LYR-11,torch.Size([1536]),1,12,0,40.092496008975864,18.041291616192737,25.324270571969887,33.43393577016422,46.56821403444865,32.69204160035027
249,roberta-base,CLS+SUM-NS_LYR-11,torch.Size([1536]),1,12,0,39.9596038284851,17.831097613037326,24.798920308167748,32.9548703885864,46.207361007404614,32.350370629136236
250,roberta-base,CLS+MAX-NS_LYR-11,torch.Size([1536]),1,12,0,44.81573657355849,32.290668548880994,46.97573894130062,47.88512262983981,55.91830056343877,45.57711345140374
251,roberta-base,DY3_LYR-11,torch.Size([2304]),1,12,0,44.13615336615678,12.185391574849442,22.083963271299602,30.164924732272425,21.552464323656192,26.024579453646886
252,roberta-base,DY3-NS_LYR-11,torch.Size([2304]),1,12,0,43.62400332052934,16.391970756913228,21.117177609618377,29.16944273765929,23.4299638669782,26.74651165833969
253,roberta-base,DY5_LYR-11,torch.Size([3840]),1,12,0,40.87378944831432,9.020714356156146,22.152460848009987,18.14913955305683,22.66647394640252,22.57251563038796
254,roberta-base,DY5-NS_LYR-11,torch.Size([3840]),1,12,0,42.99321141513969,4.228912620572944,16.236472578663466,30.566357911344976,25.0531717975934,23.815625264662895
255,roberta-base,CLS_LYR-12,torch.Size([768]),1,12,0,45.43565513213676,31.685753920608782,44.59004064180701,52.0468470163537,58.430180185411665,46.43769537926359
256,roberta-base,AVG_LYR-12,torch.Size([768]),1,12,0,39.16885909833845,17.359670012389465,24.415667799777545,31.95124986443103,45.202556070187406,31.619600569024783
257,roberta-base,SUM_LYR-12,torch.Size([768]),1,12,0,39.18634862603314,17.35934272197546,24.416445137577274,31.951798704507468,45.20152549436355,31.623092136891376
258,roberta-base,MAX_LYR-12,torch.Size([768]),1,12,0,46.230865276212675,32.63036651136164,45.22603491952735,49.6998991179544,50.93776415037874,44.94498599508697
259,roberta-base,AVG-NS_LYR-12,torch.Size([768]),1,12,0,38.86050354876323,17.13652496214247,24.276567149210297,31.62305658719127,45.094553742222566,31.398241197905968
260,roberta-base,SUM-NS_LYR-12,torch.Size([768]),1,12,0,38.864400885529264,17.13668511734101,24.277069955255268,31.622774970468193,45.094553742222566,31.39909693416326
261,roberta-base,MAX-NS_LYR-12,torch.Size([768]),1,12,0,42.46956100922808,32.8348268099541,44.06409231306914,39.933629691993666,49.51405732694414,41.763233430237825
262,roberta-base,CLS+AVG_LYR-12,torch.Size([1536]),1,12,0,40.21309472049134,18.493353504666494,26.42683843992984,33.928769105251696,46.62200127757533,33.13681140958293
263,roberta-base,CLS+SUM_LYR-12,torch.Size([1536]),1,12,0,39.188932789736135,17.36204895359078,24.416604330375193,31.953175965956643,45.198661659578,31.62388473984735
264,roberta-base,CLS+MAX_LYR-12,torch.Size([1536]),1,12,0,45.917232020964576,32.31767075111552,44.67932585452963,48.62446684302654,50.98435483968391,44.50461006186403
265,roberta-base,CLS+AVG-NS_LYR-12,torch.Size([1536]),1,12,0,39.93051617906412,18.284836981955806,26.241088287789054,33.522804761593875,46.49889790329381,32.89562882273933
266,roberta-base,CLS+SUM-NS_LYR-12,torch.Size([1536]),1,12,0,38.87628569903666,17.138090840347118,24.279124173943103,31.622994309158837,45.09741134301513,31.402781273100167
267,roberta-base,CLS+MAX-NS_LYR-12,torch.Size([1536]),1,12,0,42.2287479838554,32.57934971463774,43.56739725760991,39.11607075183453,49.633051523787366,41.42492344634499
268,roberta-base,DY3_LYR-12,torch.Size([2304]),1,12,0,44.145676924616865,11.37497715765071,21.858420195623253,29.619705567183708,21.08294109534453,25.616344188083808
269,roberta-base,DY3-NS_LYR-12,torch.Size([2304]),1,12,0,43.25389227472292,15.747587433198342,20.958663259906736,28.120858588244737,23.521356947680914,26.320471700750733
270,roberta-base,DY5_LYR-12,torch.Size([3840]),1,12,0,40.920046102334915,8.835315456885624,22.61511939261439,15.891798875176635,22.809431257253223,22.21434221685296
271,roberta-base,DY5-NS_LYR-12,torch.Size([3840]),1,12,0,43.4115595734551,3.522718606295733,16.77559375391324,30.541875779496074,24.80587462575897,23.811524467783823
272,roberta-base,CLS_SUML4L,torch.Size([768]),1,12,0,44.26771105944615,23.08653396576025,39.57163548084032,49.003214378772846,57.25191300085061,42.63620157713403
273,roberta-base,AVG_SUML4L,torch.Size([768]),1,12,0,40.64289077514452,18.594227885091417,25.230167457088687,33.33863180966295,46.27991348637261,32.817166282672034
274,roberta-base,SUM_SUML4L,torch.Size([768]),1,12,0,40.64353731331913,18.594321243821973,25.23114241322297,33.339024538749825,46.27680629792095,32.81696636140697
275,roberta-base,MAX_SUML4L,torch.Size([768]),1,12,0,51.838742205042486,35.02882338038962,51.40355068932364,60.92658110271041,58.57704821587761,51.55494911866875
276,roberta-base,AVG-NS_SUML4L,torch.Size([768]),1,12,0,40.33578719627714,18.478666269092965,25.155802942406382,32.844319905795594,46.264228017130236,32.61576086614046
277,roberta-base,SUM-NS_SUML4L,torch.Size([768]),1,12,0,40.34294623897973,18.477926818165525,25.15610188292039,32.846587363008204,46.263596201158265,32.617431700846424
278,roberta-base,MAX-NS_SUML4L,torch.Size([768]),1,12,0,47.25300625577867,34.94876720254273,49.6316746100587,50.03643964323315,57.02060456022219,47.77809845436709
279,roberta-base,CLS+AVG_SUML4L,torch.Size([1536]),1,12,0,40.71062326007583,18.818655187639045,25.665157592234483,33.689099719315564,46.609344642694296,33.098576080391844
280,roberta-base,CLS+SUM_SUML4L,torch.Size([1536]),1,12,0,40.642715116908754,18.58357511295889,25.23164241507792,33.338056328098986,46.27994834721818,32.81518746405255
281,roberta-base,CLS+MAX_SUML4L,torch.Size([1536]),1,12,0,51.512134868510095,34.435233785471766,50.74042268094252,59.95826080420726,58.360571160180406,51.00132465986241
282,roberta-base,CLS+AVG-NS_SUML4L,torch.Size([1536]),1,12,0,40.411007533018974,18.754151425626333,25.61422940372418,33.191770921424016,46.60658697351913,32.91554925146253
283,roberta-base,CLS+SUM-NS_SUML4L,torch.Size([1536]),1,12,0,40.34047091931633,18.480213044323783,25.154886836524238,32.842743069817146,46.261031190962065,32.61586901218871
284,roberta-base,CLS+MAX-NS_SUML4L,torch.Size([1536]),1,12,0,47.017294642520504,34.39816221404275,49.01608888485291,49.17378941222942,56.84873711619232,47.29081445396758
285,roberta-base,DY3_SUML4L,torch.Size([2304]),1,12,0,44.70697322246854,12.145954166509478,22.34630878872309,30.148920256673385,21.306803513266697,26.130991989528233
286,roberta-base,DY3-NS_SUML4L,torch.Size([2304]),1,12,0,43.98351863801609,16.79637874277388,21.39054993322175,29.033729546252086,23.589347452636574,26.958704862580078
287,roberta-base,DY5_SUML4L,torch.Size([3840]),1,12,0,41.29154789223414,9.051350207017546,22.599693636714495,16.986362425345998,23.102123719382753,22.606215576138986
288,roberta-base,DY5-NS_SUML4L,torch.Size([3840]),1,12,0,43.241057435621116,3.758056621885559,16.312637176171716,31.116256758781795,25.05833514290798,23.897268627073633
289,roberta-base,CLS_AVGL4L,torch.Size([768]),1,12,0,44.26771105944615,23.08653396576025,39.57163548084032,49.003214378772846,57.25191300085061,42.63620157713403
290,roberta-base,AVG_AVGL4L,torch.Size([768]),1,12,0,40.64289077514452,18.594227885091417,25.230167457088687,33.33863180966295,46.27991348637261,32.817166282672034
291,roberta-base,SUM_AVGL4L,torch.Size([768]),1,12,0,40.64353731331913,18.594321243821973,25.23114241322297,33.339024538749825,46.27680629792095,32.81696636140697
292,roberta-base,MAX_AVGL4L,torch.Size([768]),1,12,0,51.838742205042486,35.02882338038962,51.40355068932364,60.92658110271041,58.57704821587761,51.55494911866875
293,roberta-base,AVG-NS_AVGL4L,torch.Size([768]),1,12,0,40.33578719627714,18.478666269092965,25.155802942406382,32.844319905795594,46.264228017130236,32.61576086614046
294,roberta-base,SUM-NS_AVGL4L,torch.Size([768]),1,12,0,40.34294623897973,18.477926818165525,25.15610188292039,32.846587363008204,46.263596201158265,32.617431700846424
295,roberta-base,MAX-NS_AVGL4L,torch.Size([768]),1,12,0,47.25300625577867,34.94876720254273,49.6316746100587,50.03643964323315,57.02060456022219,47.77809845436709
296,roberta-base,CLS+AVG_AVGL4L,torch.Size([1536]),1,12,0,40.71062326007583,18.818655187639045,25.665157592234483,33.689099719315564,46.609344642694296,33.098576080391844
297,roberta-base,CLS+SUM_AVGL4L,torch.Size([1536]),1,12,0,40.642715116908754,18.58357511295889,25.23164241507792,33.338056328098986,46.27994834721818,32.81518746405255
298,roberta-base,CLS+MAX_AVGL4L,torch.Size([1536]),1,12,0,51.512134868510095,34.435233785471766,50.74042268094252,59.95826080420726,58.360571160180406,51.00132465986241
299,roberta-base,CLS+AVG-NS_AVGL4L,torch.Size([1536]),1,12,0,40.411007533018974,18.754151425626333,25.61422940372418,33.191770921424016,46.60658697351913,32.91554925146253
300,roberta-base,CLS+SUM-NS_AVGL4L,torch.Size([1536]),1,12,0,40.34047091931633,18.480213044323783,25.154886836524238,32.842743069817146,46.261031190962065,32.61586901218871
301,roberta-base,CLS+MAX-NS_AVGL4L,torch.Size([1536]),1,12,0,47.017294642520504,34.39816221404275,49.01608888485291,49.17378941222942,56.84873711619232,47.29081445396758
302,roberta-base,DY3_AVGL4L,torch.Size([2304]),1,12,0,44.70697322246854,12.145954166509478,22.34630878872309,30.148920256673385,21.306803513266697,26.130991989528233
303,roberta-base,DY3-NS_AVGL4L,torch.Size([2304]),1,12,0,43.98351863801609,16.79637874277388,21.39054993322175,29.033729546252086,23.589347452636574,26.958704862580078
304,roberta-base,DY5_AVGL4L,torch.Size([3840]),1,12,0,41.29154789223414,9.051350207017546,22.599693636714495,16.986362425345998,23.102123719382753,22.606215576138986
305,roberta-base,DY5-NS_AVGL4L,torch.Size([3840]),1,12,0,43.241057435621116,3.758056621885559,16.312637176171716,31.116256758781795,25.05833514290798,23.897268627073633
306,roberta-base,CLS_SUMALL,torch.Size([768]),1,12,0,46.16493630270052,22.030021133351486,37.02518645512193,45.76349760291434,52.855772862256224,40.767882871268895
307,roberta-base,AVG_SUMALL,torch.Size([768]),1,12,0,41.174909722250334,20.222095228734627,26.057847641199512,34.446812373008754,46.551118613479375,33.69055671573452
308,roberta-base,SUM_SUMALL,torch.Size([768]),1,12,0,41.18129312395343,20.222609324055387,26.058350870578977,34.44589793488329,46.549441652932266,33.691518581280675
309,roberta-base,MAX_SUMALL,torch.Size([768]),1,12,0,55.759361209388004,39.63067677444599,55.724027173194635,64.5485646132657,62.61652029671269,55.6558300134014
310,roberta-base,AVG-NS_SUMALL,torch.Size([768]),1,12,0,40.84484300474195,20.16099743568546,26.00632014030449,33.96175936451862,46.57980352961357,33.510744694972814
311,roberta-base,SUM-NS_SUMALL,torch.Size([768]),1,12,0,40.8409684776691,20.161549048879078,26.004029010336467,33.96205481403728,46.58115855359431,33.509951980903246
