,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
28,answerdotai/ModernBERT-base,_mean-4,0,1,22,72.79,71.89,88.93,84.17,80.56,41.27,81.2,66.49,73.41250000000001,78.00428571428571
29,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-4,0,1,22,73.09,71.87,89.12,85.52,80.18,41.36,81.6,61.62,73.045,77.57142857142857
30,answerdotai/ModernBERT-base,_concat_cls_with_mean-4,0,1,22,72.85,73.19,90.76,83.39,80.62,41.27,83.0,64.99,73.75874999999999,78.39999999999999
31,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-4,0,1,22,72.82,74.57,90.58,84.74,80.34,42.13,84.6,65.91,74.46124999999999,79.08
32,answerdotai/ModernBERT-base,_concat_mean_3_tokens-4,0,1,22,73.51,75.74,90.22,85.23,79.79,41.95,85.8,65.16,74.675,79.35000000000001
33,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-4,0,1,22,74.05,77.06,90.2,85.69,79.19,42.08,86.8,65.74,75.10125,79.81857142857143
34,answerdotai/ModernBERT-base,_concat_mean_5_tokens-4,0,1,22,72.84,76.87,90.71,84.85,79.08,41.95,83.6,64.99,74.36125,78.99142857142856
35,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-4,0,1,22,73.64,75.68,90.49,68.77,78.8,39.5,87.2,69.33,72.92625000000001,77.70142857142856
36,answerdotai/ModernBERT-base,_cls-5,0,1,22,64.44,65.17,85.42,76.21,71.39,37.15,71.6,65.39,67.09625,71.37428571428572
37,answerdotai/ModernBERT-base,_mean-5,0,1,22,72.42,70.49,89.64,83.53,80.51,39.59,79.8,66.49,72.80875,77.55428571428571
38,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-5,0,1,22,72.7,72.05,89.54,85.06,80.83,38.24,83.4,66.49,73.53875000000001,78.58142857142857
39,answerdotai/ModernBERT-base,_concat_cls_with_mean-5,0,1,22,73.66,73.91,90.74,84.14,80.78,41.81,82.4,63.88,73.915,78.50142857142858
40,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-5,0,1,22,73.96,75.28,91.02,85.07,81.71,40.59,79.6,70.09,74.665,79.53285714285714
41,answerdotai/ModernBERT-base,_concat_mean_3_tokens-5,0,1,22,74.08,77.59,90.17,84.81,78.58,42.76,86.4,65.28,74.95875,79.55857142857143
42,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-5,0,1,22,74.38,76.82,90.64,84.94,79.57,42.4,86.8,66.14,75.21124999999999,79.89857142857143
43,answerdotai/ModernBERT-base,_concat_mean_5_tokens-5,0,1,22,74.18,77.14,91.01,84.75,78.58,40.5,87.6,67.3,75.1325,80.08
44,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-5,0,1,22,74.56,75.87,90.8,68.77,78.47,39.41,88.6,65.91,72.79875,77.56857142857143
45,answerdotai/ModernBERT-base,_cls-6,0,1,22,64.89,65.19,85.54,76.81,72.71,36.38,74.8,64.99,67.66375,72.13285714285715
46,answerdotai/ModernBERT-base,_mean-6,0,1,22,73.89,73.43,89.03,83.1,81.22,40.14,81.8,66.49,73.63749999999999,78.42285714285713
47,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-6,0,1,22,74.41,73.51,89.99,85.11,80.72,42.85,87.2,66.49,75.03500000000001,79.63285714285713
48,answerdotai/ModernBERT-base,_concat_cls_with_mean-6,0,1,22,73.67,76.42,90.54,83.92,80.23,41.63,85.4,65.97,74.72250000000001,79.45000000000002
49,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-6,0,1,22,74.02,76.55,90.66,85.31,80.34,42.35,85.6,64.46,74.91125000000001,79.56285714285715
50,answerdotai/ModernBERT-base,_concat_mean_3_tokens-6,0,1,22,74.77,77.8,91.12,84.38,79.96,42.44,85.4,64.23,75.0125,79.66571428571429
51,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-6,0,1,22,74.5,76.37,90.81,84.88,79.02,41.9,87.8,64.35,74.95375,79.67571428571429
