Unnamed: 0,Modelo,nhid,Pooling,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,Avg_without_SST5
74.0,bert-large-uncased,0,_mean_exclude_cls_sep-9,1,24,75.71,77.88,93.32,88.28,81.71,83.8,73.28,81.99714285714285
75.0,bert-large-uncased,0,_concat_cls_with_mean-9,1,24,75.66,75.34,93.82,87.76,82.21,88.0,72.93,82.24571428571429
76.0,bert-large-uncased,0,_concat_cls_with_mean_exclude_cls_sep-9,1,24,75.82,76.61,93.9,88.09,82.1,87.8,72.93,82.46428571428571
77.0,bert-large-uncased,0,_concat_mean_3_tokens-9,1,24,76.7,78.67,94.26,88.1,79.08,89.2,68.81,82.11714285714285
78.0,bert-large-uncased,0,_concat_mean_3_tokens_exclude_cls_and_sep-9,1,24,76.56,79.44,94.17,87.88,79.85,88.8,68.99,82.24142857142856
79.0,bert-large-uncased,0,_concat_mean_5_tokens-9,1,24,77.29,79.07,94.27,87.61,79.46,91.2,67.94,82.40571428571427
80.0,bert-large-uncased,0,_concat_mean_5_tokens_exclude_cls_and_sep-9,1,24,77.03,78.76,94.19,68.77,50.08,89.4,66.2,74.91857142857144
81.0,bert-large-uncased,0,_cls-10,1,24,72.46,72.24,92.68,84.03,77.48,70.8,69.16,76.97857142857143
82.0,bert-large-uncased,0,_mean-10,1,24,76.54,76.95,92.93,87.05,82.54,85.8,73.39,82.17142857142858
83.0,bert-large-uncased,0,_mean_exclude_cls_sep-10,1,24,76.05,77.33,93.17,88.12,81.33,84.6,73.86,82.0657142857143
84.0,bert-large-uncased,0,_concat_cls_with_mean-10,1,24,76.3,77.77,93.67,87.36,81.77,86.8,73.22,82.41285714285713
85.0,bert-large-uncased,0,_concat_cls_with_mean_exclude_cls_sep-10,1,24,76.55,77.01,93.93,88.54,81.88,86.4,73.51,82.5457142857143
86.0,bert-large-uncased,0,_concat_mean_3_tokens-10,1,24,76.61,78.44,94.02,87.69,78.2,89.8,68.23,81.85571428571428
87.0,bert-large-uncased,0,_concat_mean_3_tokens_exclude_cls_and_sep-10,1,24,76.69,78.04,94.07,87.98,77.98,89.0,67.88,81.66285714285716
88.0,bert-large-uncased,0,_concat_mean_5_tokens-10,1,24,76.99,78.73,93.81,87.37,77.98,88.8,66.67,81.47857142857143
89.0,bert-large-uncased,0,_concat_mean_5_tokens_exclude_cls_and_sep-10,1,24,76.72,78.15,93.85,68.77,50.08,91.8,67.48,75.26428571428572
90.0,bert-large-uncased,0,_cls-11,1,24,72.12,73.62,92.32,83.77,76.99,68.6,66.55,76.28142857142856
91.0,bert-large-uncased,0,_mean-11,1,24,76.06,77.78,93.18,87.44,81.99,86.2,73.57,82.31714285714285
92.0,bert-large-uncased,0,_mean_exclude_cls_sep-11,1,24,76.19,78.09,93.18,88.23,81.71,88.0,71.65,82.43571428571428
93.0,bert-large-uncased,0,_concat_cls_with_mean-11,1,24,76.24,75.84,93.8,87.52,81.71,80.8,72.64,81.22142857142856
94.0,bert-large-uncased,0,_concat_cls_with_mean_exclude_cls_sep-11,1,24,76.15,77.96,93.6,88.25,82.04,82.6,72.75,81.90714285714286
95.0,bert-large-uncased,0,_concat_mean_3_tokens-11,1,24,76.76,78.7,93.9,87.48,79.41,90.2,68.23,82.09714285714286
96.0,bert-large-uncased,0,_concat_mean_3_tokens_exclude_cls_and_sep-11,1,24,77.39,78.76,94.12,88.25,77.87,90.8,68.06,82.17857142857143
97.0,bert-large-uncased,0,_concat_mean_5_tokens-11,1,24,77.47,78.44,94.11,87.6,77.92,91.0,69.57,82.30142857142857
98.0,bert-large-uncased,0,_concat_mean_5_tokens_exclude_cls_and_sep-11,1,24,77.0,79.1,93.69,68.77,50.08,89.4,66.78,74.9742857142857
99.0,bert-large-uncased,0,_cls-12,1,24,71.99,72.85,92.86,84.22,78.58,78.2,66.49,77.88428571428571
100.0,bert-large-uncased,0,_mean-12,1,24,76.82,75.95,93.19,87.22,82.54,88.4,73.39,82.50142857142858
101.0,bert-large-uncased,0,_mean_exclude_cls_sep-12,1,24,76.85,78.09,93.42,88.14,81.93,86.8,72.06,82.47
102.0,bert-large-uncased,0,_concat_cls_with_mean-12,1,24,76.69,74.83,94.23,86.88,82.81,89.8,72.7,82.56285714285715
