Modelo,Pooling,out_emb_size,epochs,qtd_layers,nhid,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,Avg_without_SST5
bert-base,CLS+AVG-NS_LYR-11,torch.Size([1536]),1,12,0,82.1,84.98,95.12,88.4,87.42,90.0,73.04,85.86571428571428
bert-base,CLS+SUM-NS_LYR-11,torch.Size([1536]),1,12,0,78.77,82.49,93.71,87.64,86.0,92.2,60.06,82.98142857142855
bert-base,CLS+MAX-NS_LYR-11,torch.Size([1536]),1,12,0,81.61,83.42,94.89,87.94,86.77,90.2,75.01,85.69142857142857
bert-base,DY3_LYR-11,torch.Size([2304]),1,12,0,80.93,85.53,95.04,88.55,83.64,92.0,71.54,85.31857142857143
bert-base,DY3-NS_LYR-11,torch.Size([2304]),1,12,0,81.11,85.99,95.06,88.61,83.75,91.4,70.84,85.25142857142858
bert-base,DY5_LYR-11,torch.Size([3840]),1,12,0,81.31,86.41,95.1,88.81,83.8,93.0,69.68,85.44428571428573
bert-base,DY5-NS_LYR-11,torch.Size([3840]),1,12,0,81.13,86.46,95.27,68.77,50.08,94.4,69.57,77.95428571428569
bert-base,CLS_LYR-12,torch.Size([768]),1,12,0,81.32,84.13,94.56,86.71,86.16,81.6,71.83,83.75857142857144
bert-base,AVG_LYR-12,torch.Size([768]),1,12,0,80.26,83.5,94.43,87.1,84.79,85.2,73.91,84.16999999999999
bert-base,SUM_LYR-12,torch.Size([768]),1,12,0,78.59,82.57,93.66,87.08,85.12,89.8,64.93,83.10714285714286
bert-base,MAX_LYR-12,torch.Size([768]),1,12,0,77.48,74.02,92.59,85.59,83.36,81.2,71.42,80.80857142857143
bert-base,AVG-NS_LYR-12,torch.Size([768]),1,12,0,80.52,83.71,94.26,86.97,84.79,83.6,73.8,83.95
bert-base,SUM-NS_LYR-12,torch.Size([768]),1,12,0,78.04,82.97,93.55,86.54,85.45,89.8,67.13,83.35428571428572
bert-base,MAX-NS_LYR-12,torch.Size([768]),1,12,0,77.58,76.58,92.82,85.81,82.1,81.4,71.77,81.15142857142857
bert-base,CLS+AVG_LYR-12,torch.Size([1536]),1,12,0,81.69,85.38,95.15,88.15,86.77,88.8,73.68,85.65999999999998
bert-base,CLS+SUM_LYR-12,torch.Size([1536]),1,12,0,79.44,84.27,93.9,87.37,86.66,91.2,69.28,84.58857142857143
bert-base,CLS+MAX_LYR-12,torch.Size([1536]),1,12,0,81.87,84.29,94.79,87.04,86.99,87.6,72.93,85.07285714285715
bert-base,CLS+AVG-NS_LYR-12,torch.Size([1536]),1,12,0,81.73,84.5,95.16,87.98,86.71,89.4,74.09,85.65285714285714
bert-base,CLS+SUM-NS_LYR-12,torch.Size([1536]),1,12,0,79.51,83.87,93.83,87.46,86.71,89.8,69.45,84.37571428571428
bert-base,CLS+MAX-NS_LYR-12,torch.Size([1536]),1,12,0,81.7,83.58,94.48,87.46,86.66,87.2,72.81,84.84142857142858
bert-base,DY3_LYR-12,torch.Size([2304]),1,12,0,80.76,84.82,94.88,87.98,83.96,89.0,70.38,84.53999999999999
bert-base,DY3-NS_LYR-12,torch.Size([2304]),1,12,0,80.64,84.66,94.92,88.18,83.96,90.2,70.2,84.68000000000002
bert-base,DY5_LYR-12,torch.Size([3840]),1,12,0,80.95,85.56,95.01,88.3,82.15,90.8,67.59,84.33714285714287
bert-base,DY5-NS_LYR-12,torch.Size([3840]),1,12,0,80.7,84.74,94.91,68.77,50.08,92.2,67.48,76.98285714285714
bert-base,CLS_SUML4L,torch.Size([768]),1,12,0,81.89,84.43,95.09,87.61,87.26,88.4,62.38,83.86571428571428
bert-base,AVG_SUML4L,torch.Size([768]),1,12,0,81.34,86.78,94.42,88.33,86.27,91.0,70.38,85.50285714285714
bert-base,SUM_SUML4L,torch.Size([768]),1,12,0,76.11,82.68,93.45,86.33,85.67,88.6,65.22,82.58000000000001
bert-base,MAX_SUML4L,torch.Size([768]),1,12,0,76.59,78.09,92.19,86.5,83.8,85.4,67.19,81.39428571428572
bert-base,AVG-NS_SUML4L,torch.Size([768]),1,12,0,81.1,85.61,94.46,88.09,86.49,91.6,68.75,85.15714285714286
bert-base,SUM-NS_SUML4L,torch.Size([768]),1,12,0,76.04,83.15,93.08,85.86,85.72,88.2,65.57,82.51714285714287
bert-base,MAX-NS_SUML4L,torch.Size([768]),1,12,0,77.38,76.08,92.76,86.81,83.75,91.4,67.54,82.24571428571427
bert-base,CLS+AVG_SUML4L,torch.Size([1536]),1,12,0,82.4,85.99,95.2,88.59,87.92,92.2,71.65,86.27857142857142
bert-base,CLS+SUM_SUML4L,torch.Size([1536]),1,12,0,76.61,83.84,93.31,86.66,85.06,86.8,67.77,82.86428571428571
bert-base,CLS+MAX_SUML4L,torch.Size([1536]),1,12,0,80.53,83.81,94.55,87.76,86.71,92.4,67.07,84.68999999999998
bert-base,CLS+AVG-NS_SUML4L,torch.Size([1536]),1,12,0,82.41,85.77,95.13,88.73,87.7,90.4,72.17,86.0442857142857
bert-base,CLS+SUM-NS_SUML4L,torch.Size([1536]),1,12,0,76.95,83.36,93.09,87.07,85.34,87.8,65.91,82.78857142857143
bert-base,CLS+MAX-NS_SUML4L,torch.Size([1536]),1,12,0,80.54,83.73,94.8,88.19,87.59,92.0,66.49,84.76285714285714
bert-base,DY3_SUML4L,torch.Size([2304]),1,12,0,81.98,85.46,95.24,88.63,84.13,92.4,70.38,85.46000000000001
bert-base,DY3-NS_SUML4L,torch.Size([2304]),1,12,0,81.14,86.46,95.02,88.32,83.8,92.8,70.38,85.41714285714285
bert-base,DY5_SUML4L,torch.Size([3840]),1,12,0,81.39,86.07,94.35,88.25,83.86,92.0,68.12,84.86285714285714
