Unnamed: 0;Modelo;nhid;Pooling;epochs;qtd_layers;MR;CR;SUBJ;MPQA;SST2;TREC;MRPC;Avg_without_SST5
45,00;bert-large-uncased;0,00;_cls-6;1,00;24,00;70,53;68,95;90,71;83,34;77,81;61,60;69,86;74,69
46,00;bert-large-uncased;0,00;_mean-6;1,00;24,00;75,78;75,92;92,62;87,22;81,27;83,60;74,09;81,50
47,00;bert-large-uncased;0,00;_mean_exclude_cls_sep-6;1,00;24,00;75,80;77,03;92,71;87,94;81,49;84,60;74,26;81,98
48,00;bert-large-uncased;0,00;_concat_cls_with_mean-6;1,00;24,00;75,81;77,75;93,01;88,06;81,00;84,40;74,14;82,02
49,00;bert-large-uncased;0,00;_concat_cls_with_mean_exclude_cls_sep-6;1,00;24,00;75,61;77,38;93,25;87,97;80,62;85,60;73,91;82,05
50,00;bert-large-uncased;0,00;_concat_mean_3_tokens-6;1,00;24,00;76,10;78,83;93,36;87,69;79,30;87,60;68,41;81,61
51,00;bert-large-uncased;0,00;_concat_mean_3_tokens_exclude_cls_and_sep-6;1,00;24,00;75,71;78,97;93,82;88,37;77,98;87,40;68,99;81,61
52,00;bert-large-uncased;0,00;_concat_mean_5_tokens-6;1,00;24,00;75,70;78,41;94,10;87,37;77,65;88,00;69,51;81,53
53,00;bert-large-uncased;0,00;_concat_mean_5_tokens_exclude_cls_and_sep-6;1,00;24,00;76,19;78,92;93,77;68,77;50,08;87,40;66,90;74,58
54,00;bert-large-uncased;0,00;_cls-7;1,00;24,00;72,26;72,50;91,64;84,88;78,42;70,00;68,23;76,85
55,00;bert-large-uncased;0,00;_mean-7;1,00;24,00;75,39;76,72;93,11;87,55;81,33;85,60;73,80;81,93
56,00;bert-large-uncased;0,00;_mean_exclude_cls_sep-7;1,00;24,00;75,57;77,77;93,24;88,41;80,89;85,60;73,22;82,10
57,00;bert-large-uncased;0,00;_concat_cls_with_mean-7;1,00;24,00;75,76;77,25;93,58;88,07;82,21;83,60;73,62;82,01
58,00;bert-large-uncased;0,00;_concat_cls_with_mean_exclude_cls_sep-7;1,00;24,00;75,81;78,17;93,65;88,53;81,93;87,60;73,91;82,80
59,00;bert-large-uncased;0,00;_concat_mean_3_tokens-7;1,00;24,00;76,04;79,36;94,04;88,63;78,86;88,60;68,93;82,07
60,00;bert-large-uncased;0,00;_concat_mean_3_tokens_exclude_cls_and_sep-7;1,00;24,00;76,27;79,15;93,73;88,21;78,36;88,40;68,99;81,87
61,00;bert-large-uncased;0,00;_concat_mean_5_tokens-7;1,00;24,00;76,46;79,07;93,93;87,78;78,58;89,20;66,84;81,69
62,00;bert-large-uncased;0,00;_concat_mean_5_tokens_exclude_cls_and_sep-7;1,00;24,00;76,40;78,25;93,98;68,77;50,08;89,60;67,01;74,87
63,00;bert-large-uncased;0,00;_cls-8;1,00;24,00;72,08;72,50;91,40;84,27;77,87;68,60;67,65;76,34
64,00;bert-large-uncased;0,00;_mean-8;1,00;24,00;76,06;76,56;92,98;86,77;82,10;84,60;73,33;81,77
65,00;bert-large-uncased;0,00;_mean_exclude_cls_sep-8;1,00;24,00;75,92;77,62;93,01;88,19;82,54;86,00;72,46;82,25
66,00;bert-large-uncased;0,00;_concat_cls_with_mean-8;1,00;24,00;75,51;77,75;93,42;87,71;81,49;85,00;73,45;82,05
67,00;bert-large-uncased;0,00;_concat_cls_with_mean_exclude_cls_sep-8;1,00;24,00;75,78;77,80;93,75;88,20;81,99;87,00;73,45;82,57
68,00;bert-large-uncased;0,00;_concat_mean_3_tokens-8;1,00;24,00;76,17;78,20;94,24;88,38;79,13;87,60;68,87;81,80
69,00;bert-large-uncased;0,00;_concat_mean_3_tokens_exclude_cls_and_sep-8;1,00;24,00;76,03;78,54;93,72;88,00;79,02;88,00;68,75;81,72
70,00;bert-large-uncased;0,00;_concat_mean_5_tokens-8;1,00;24,00;76,52;78,07;94,08;87,76;79,30;90,60;68,58;82,13
71,00;bert-large-uncased;0,00;_concat_mean_5_tokens_exclude_cls_and_sep-8;1,00;24,00;76,52;78,23;93,90;68,77;50,08;88,40;64,81;74,39
72,00;bert-large-uncased;0,00;_cls-9;1,00;24,00;71,94;73,51;92,23;84,41;76,22;75,40;67,13;77,26
73,00;bert-large-uncased;0,00;_mean-9;1,00;24,00;75,81;76,50;93,49;87,31;81,60;84,00;73,22;81,70
74,00;bert-large-uncased;0,00;_mean_exclude_cls_sep-9;1,00;24,00;75,71;77,88;93,32;88,28;81,71;83,80;73,28;82,00
75,00;bert-large-uncased;0,00;_concat_cls_with_mean-9;1,00;24,00;75,66;75,34;93,82;87,76;82,21;88,00;72,93;82,25
76,00;bert-large-uncased;0,00;_concat_cls_with_mean_exclude_cls_sep-9;1,00;24,00;75,82;76,61;93,90;88,09;82,10;87,80;72,93;82,46
77,00;bert-large-uncased;0,00;_concat_mean_3_tokens-9;1,00;24,00;76,70;78,67;94,26;88,10;79,08;89,20;68,81;82,12
78,00;bert-large-uncased;0,00;_concat_mean_3_tokens_exclude_cls_and_sep-9;1,00;24,00;76,56;79,44;94,17;87,88;79,85;88,80;68,99;82,24
79,00;bert-large-uncased;0,00;_concat_mean_5_tokens-9;1,00;24,00;77,29;79,07;94,27;87,61;79,46;91,20;67,94;82,41
80,00;bert-large-uncased;0,00;_concat_mean_5_tokens_exclude_cls_and_sep-9;1,00;24,00;77,03;78,76;94,19;68,77;50,08;89,40;66,20;74,92
81,00;bert-large-uncased;0,00;_cls-10;1,00;24,00;72,46;72,24;92,68;84,03;77,48;70,80;69,16;76,98
82,00;bert-large-uncased;0,00;_mean-10;1,00;24,00;76,54;76,95;92,93;87,05;82,54;85,80;73,39;82,17
83,00;bert-large-uncased;0,00;_mean_exclude_cls_sep-10;1,00;24,00;76,05;77,33;93,17;88,12;81,33;84,60;73,86;82,07
84,00;bert-large-uncased;0,00;_concat_cls_with_mean-10;1,00;24,00;76,30;77,77;93,67;87,36;81,77;86,80;73,22;82,41
85,00;bert-large-uncased;0,00;_concat_cls_with_mean_exclude_cls_sep-10;1,00;24,00;76,55;77,01;93,93;88,54;81,88;86,40;73,51;82,55
86,00;bert-large-uncased;0,00;_concat_mean_3_tokens-10;1,00;24,00;76,61;78,44;94,02;87,69;78,20;89,80;68,23;81,86
87,00;bert-large-uncased;0,00;_concat_mean_3_tokens_exclude_cls_and_sep-10;1,00;24,00;76,69;78,04;94,07;87,98;77,98;89,00;67,88;81,66
88,00;bert-large-uncased;0,00;_concat_mean_5_tokens-10;1,00;24,00;76,99;78,73;93,81;87,37;77,98;88,80;66,67;81,48
89,00;bert-large-uncased;0,00;_concat_mean_5_tokens_exclude_cls_and_sep-10;1,00;24,00;76,72;78,15;93,85;68,77;50,08;91,80;67,48;75,26
90,00;bert-large-uncased;0,00;_cls-11;1,00;24,00;72,12;73,62;92,32;83,77;76,99;68,60;66,55;76,28
91,00;bert-large-uncased;0,00;_mean-11;1,00;24,00;76,06;77,78;93,18;87,44;81,99;86,20;73,57;82,32
92,00;bert-large-uncased;0,00;_mean_exclude_cls_sep-11;1,00;24,00;76,19;78,09;93,18;88,23;81,71;88,00;71,65;82,44
93,00;bert-large-uncased;0,00;_concat_cls_with_mean-11;1,00;24,00;76,24;75,84;93,80;87,52;81,71;80,80;72,64;81,22
94,00;bert-large-uncased;0,00;_concat_cls_with_mean_exclude_cls_sep-11;1,00;24,00;76,15;77,96;93,60;88,25;82,04;82,60;72,75;81,91
95,00;bert-large-uncased;0,00;_concat_mean_3_tokens-11;1,00;24,00;76,76;78,70;93,90;87,48;79,41;90,20;68,23;82,10
96,00;bert-large-uncased;0,00;_concat_mean_3_tokens_exclude_cls_and_sep-11;1,00;24,00;77,39;78,76;94,12;88,25;77,87;90,80;68,06;82,18
97,00;bert-large-uncased;0,00;_concat_mean_5_tokens-11;1,00;24,00;77,47;78,44;94,11;87,60;77,92;91,00;69,57;82,30
