,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
55,bert-large-uncased,_mean-7,0,1,24,75.39,76.72,93.11,87.55,81.33,43.53,85.6,73.8,77.12875,81.92857142857143
56,bert-large-uncased,_mean_exclude_cls_sep-7,0,1,24,75.57,77.77,93.24,88.41,80.89,43.48,85.6,73.22,77.27250000000001,82.10000000000001
57,bert-large-uncased,_concat_cls_with_mean-7,0,1,24,75.76,77.25,93.58,88.07,82.21,42.22,83.6,73.62,77.03875,82.01285714285713
58,bert-large-uncased,_concat_cls_with_mean_exclude_cls_sep-7,0,1,24,75.81,78.17,93.65,88.53,81.93,43.62,87.6,73.91,77.9025,82.8
59,bert-large-uncased,_concat_mean_3_tokens-7,0,1,24,76.04,79.36,94.04,88.63,78.86,42.85,88.6,68.93,77.16375,82.0657142857143
60,bert-large-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-7,0,1,24,76.27,79.15,93.73,88.21,78.36,41.99,88.4,68.99,76.8875,81.87285714285714
61,bert-large-uncased,_concat_mean_5_tokens-7,0,1,24,76.46,79.07,93.93,87.78,78.58,41.4,89.2,66.84,76.6575,81.69428571428571
62,bert-large-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-7,0,1,24,76.4,78.25,93.98,68.77,50.08,39.68,89.6,67.01,70.47125,74.86999999999999
63,bert-large-uncased,_cls-8,0,1,24,72.08,72.5,91.4,84.27,77.87,39.32,68.6,67.65,71.71124999999999,76.33857142857143
64,bert-large-uncased,_mean-8,0,1,24,76.06,76.56,92.98,86.77,82.1,43.71,84.6,73.33,77.01375,81.77142857142859
65,bert-large-uncased,_mean_exclude_cls_sep-8,0,1,24,75.92,77.62,93.01,88.19,82.54,42.81,86.0,72.46,77.31875000000001,82.24857142857142
66,bert-large-uncased,_concat_cls_with_mean-8,0,1,24,75.51,77.75,93.42,87.71,81.49,43.76,85.0,73.45,77.26125,82.04714285714286
67,bert-large-uncased,_concat_cls_with_mean_exclude_cls_sep-8,0,1,24,75.78,77.8,93.75,88.2,81.99,43.67,87.0,73.45,77.70500000000001,82.56714285714285
68,bert-large-uncased,_concat_mean_3_tokens-8,0,1,24,76.17,78.2,94.24,88.38,79.13,42.67,87.6,68.87,76.9075,81.79857142857144
69,bert-large-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-8,0,1,24,76.03,78.54,93.72,88.0,79.02,42.44,88.0,68.75,76.8125,81.72285714285714
70,bert-large-uncased,_concat_mean_5_tokens-8,0,1,24,76.52,78.07,94.08,87.76,79.3,43.08,90.6,68.58,77.24875,82.13
71,bert-large-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-8,0,1,24,76.52,78.23,93.9,68.77,50.08,41.54,88.4,64.81,70.28125,74.38714285714286
72,bert-large-uncased,_cls-9,0,1,24,71.94,73.51,92.23,84.41,76.22,40.32,75.4,67.13,72.64500000000001,77.26285714285714
73,bert-large-uncased,_mean-9,0,1,24,75.81,76.5,93.49,87.31,81.6,42.99,84.0,73.22,76.86500000000001,81.70428571428572
74,bert-large-uncased,_mean_exclude_cls_sep-9,0,1,24,75.71,77.88,93.32,88.28,81.71,43.62,83.8,73.28,77.19999999999999,81.99714285714285
75,bert-large-uncased,_concat_cls_with_mean-9,0,1,24,75.66,75.34,93.82,87.76,82.21,43.57,88.0,72.93,77.41125,82.24571428571429
76,bert-large-uncased,_concat_cls_with_mean_exclude_cls_sep-9,0,1,24,75.82,76.61,93.9,88.09,82.1,43.76,87.8,72.93,77.62625,82.46428571428571
77,bert-large-uncased,_concat_mean_3_tokens-9,0,1,24,76.7,78.67,94.26,88.1,79.08,42.44,89.2,68.81,77.1575,82.11714285714285
78,bert-large-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-9,0,1,24,76.56,79.44,94.17,87.88,79.85,41.99,88.8,68.99,77.21,82.24142857142856
