,Modelo,Pooling,epochs,qtd_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness,Avg
30,bert-base-uncased,_concat_cls_layer_with_mean_pooling_4,1,12,0.49700662771081355,0.32659080091444304,0.47863738049008986,0.4990615168714532,0.4732008497427609,,,0.4548994351459121
31,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_4,1,12,0.49700662771081355,0.32659080091444304,0.47863738049008986,0.4990615168714532,0.4732008497427609,,,0.4548994351459121
32,bert-base-uncased,_concat_3_tokens_mean_pooling_4,1,12,0.3690878582422491,0.1598640115929378,0.3198154517400204,0.3842592519946824,0.2826451661197164,,,0.30313434793792127
33,bert-base-uncased,_concat_5_tokens_mean_pooling_4,1,12,0.31439240873063623,0.11102168944226903,0.2657187289468808,0.29833181828421973,0.259825763917621,,,0.24985808186432537
34,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_4,1,12,0.3690878582422491,0.1598640115929378,0.3198154517400204,0.3842592519946824,0.2826451661197164,,,0.30313434793792127
35,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_4,1,12,0.31439240873063623,0.11102168944226903,0.2657187289468808,0.29833181828421973,0.259825763917621,,,0.24985808186432537
36,bert-base-uncased,_cls_layer_5,1,12,0.39700457947682366,0.30131327301414185,0.3846371962965931,0.3914482387551096,0.5130648675422992,,,0.3974936310169935
37,bert-base-uncased,_mean_pooling_5,1,12,0.47959312791534625,0.345515319532927,0.5035014838780365,0.5501476529355447,0.4815128028235893,,,0.4720540774170887
38,bert-base-uncased,_mean_pooling_no_cls_and_sep_5,1,12,0.47959312791534625,0.345515319532927,0.5035014838780365,0.5501476529355447,0.4815128028235893,,,0.4720540774170887
39,bert-base-uncased,_concat_cls_layer_with_mean_pooling_5,1,12,0.4896053574696828,0.3661470611305518,0.4900382759776056,0.5227689809855349,0.5264526957711191,,,0.47900247426689885
40,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_5,1,12,0.4896053574696828,0.3661470611305518,0.4900382759776056,0.5227689809855349,0.5264526957711191,,,0.47900247426689885
41,bert-base-uncased,_concat_3_tokens_mean_pooling_5,1,12,0.4078102528424935,0.22468756383350427,0.4010980063648872,0.4635761056103848,0.33996324843355324,,,0.36742703541696464
42,bert-base-uncased,_concat_5_tokens_mean_pooling_5,1,12,0.34858506934368316,0.15700727189178978,0.3235295615539155,0.36977247464254515,0.29888632175488306,,,0.2995561398373633
43,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_5,1,12,0.4078102528424935,0.22468756383350427,0.4010980063648872,0.4635761056103848,0.33996324843355324,,,0.36742703541696464
44,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_5,1,12,0.34858506934368316,0.15700727189178978,0.3235295615539155,0.36977247464254515,0.29888632175488306,,,0.2995561398373633
45,bert-base-uncased,_cls_layer_6,1,12,0.3438301578554256,0.24710203591287142,0.30151861290919807,0.31118122041997986,0.4571952744690411,,,0.3321654603133032
46,bert-base-uncased,_mean_pooling_6,1,12,0.4520182640857261,0.30120424905305737,0.47056396684067847,0.5259403069252748,0.4716449994433722,,,0.4442743572696218
47,bert-base-uncased,_mean_pooling_no_cls_and_sep_6,1,12,0.4520182640857261,0.30120424905305737,0.47056396684067847,0.5259403069252748,0.4716449994433722,,,0.4442743572696218
48,bert-base-uncased,_concat_cls_layer_with_mean_pooling_6,1,12,0.4450546797643855,0.3078975105230619,0.4276614757816503,0.4518119990072833,0.49002027811241194,,,0.42448918863775864
49,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_6,1,12,0.4450546797643855,0.3078975105230619,0.4276614757816503,0.4518119990072833,0.49002027811241194,,,0.42448918863775864
50,bert-base-uncased,_concat_3_tokens_mean_pooling_6,1,12,0.3842127523101603,0.18616492241800886,0.3722990554272676,0.44081887874880826,0.33929106657152813,,,0.3445573350951546
51,bert-base-uncased,_concat_5_tokens_mean_pooling_6,1,12,0.33306983715117255,0.12857405891763757,0.30235482390578106,0.35656392699835526,0.30425345890035704,,,0.28496322117466066
52,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_6,1,12,0.3842127523101603,0.18616492241800886,0.3722990554272676,0.44081887874880826,0.33929106657152813,,,0.3445573350951546
53,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_6,1,12,0.33306983715117255,0.12857405891763757,0.30235482390578106,0.35656392699835526,0.30425345890035704,,,0.28496322117466066
54,bert-base-uncased,_cls_layer_7,1,12,0.2874085237784586,0.18409039927799842,0.2795641055695517,0.31630078914891724,0.3798410695817501,,,0.2894409774713352
55,bert-base-uncased,_mean_pooling_7,1,12,0.4437563735238024,0.2943116645771739,0.4617797585294898,0.529112086759594,0.4835367860827602,,,0.44249933389456403
56,bert-base-uncased,_mean_pooling_no_cls_and_sep_7,1,12,0.4437563735238024,0.2943116645771739,0.4617797585294898,0.529112086759594,0.4835367860827602,,,0.44249933389456403
57,bert-base-uncased,_concat_cls_layer_with_mean_pooling_7,1,12,0.3785670721764727,0.23578043335597054,0.37491940488593106,0.4209274973865784,0.4448297262547526,,,0.3710048268119411
58,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_7,1,12,0.3785670721764727,0.23578043335597054,0.37491940488593106,0.4209274973865784,0.4448297262547526,,,0.3710048268119411
59,bert-base-uncased,_concat_3_tokens_mean_pooling_7,1,12,0.3824192572102611,0.19390808140204852,0.378590158815521,0.45651602916769846,0.3572473363259478,,,0.35373617258429535
60,bert-base-uncased,_concat_5_tokens_mean_pooling_7,1,12,0.3354585976276085,0.1338027609947338,0.3121253182803974,0.3778013042660436,0.3193371549631142,,,0.29570502722637954
61,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_7,1,12,0.3824192572102611,0.19390808140204852,0.378590158815521,0.45651602916769846,0.3572473363259478,,,0.35373617258429535
62,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_7,1,12,0.3354585976276085,0.1338027609947338,0.3121253182803974,0.3778013042660436,0.3193371549631142,,,0.29570502722637954
63,bert-base-uncased,_cls_layer_8,1,12,0.256438836570149,0.17146708521448326,0.25311319033634855,0.27047382255047275,0.33670808788101514,,,0.25764020451049374
64,bert-base-uncased,_mean_pooling_8,1,12,0.4189724957790911,0.26976641774920934,0.4500189486571262,0.5030725855295793,0.4667457614947906,,,0.42171524184195935
65,bert-base-uncased,_mean_pooling_no_cls_and_sep_8,1,12,0.4189724957790911,0.26976641774920934,0.4500189486571262,0.5030725855295793,0.4667457614947906,,,0.42171524184195935
66,bert-base-uncased,_concat_cls_layer_with_mean_pooling_8,1,12,0.35758856484600815,0.22091656484737796,0.3677720985298653,0.39794742916602244,0.4139636472138979,,,0.3516376609206343
67,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_8,1,12,0.35758856484600815,0.22091656484737796,0.3677720985298653,0.39794742916602244,0.4139636472138979,,,0.3516376609206343
68,bert-base-uncased,_concat_3_tokens_mean_pooling_8,1,12,0.36105826616008063,0.17007136685153323,0.3548158531428043,0.4312262730491031,0.3408721316444437,,,0.331608778169593
69,bert-base-uncased,_concat_5_tokens_mean_pooling_8,1,12,0.32316038925810375,0.11573372801602837,0.2978104508128121,0.3627140468108337,0.3106568186604948,,,0.28201508671165454
70,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_8,1,12,0.36105826616008063,0.17007136685153323,0.3548158531428043,0.4312262730491031,0.3408721316444437,,,0.331608778169593
71,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_8,1,12,0.32316038925810375,0.11573372801602837,0.2978104508128121,0.3627140468108337,0.3106568186604948,,,0.28201508671165454
72,bert-base-uncased,_cls_layer_9,1,12,0.2630514351768644,0.1887675279707006,0.25994437691685696,0.2863853309452623,0.3554506079754908,,,0.270719855797035
73,bert-base-uncased,_mean_pooling_9,1,12,0.3836355515680582,0.24952845783156177,0.44739168393689005,0.5012101233182742,0.46595038809413314,,,0.40954324094978345
74,bert-base-uncased,_mean_pooling_no_cls_and_sep_9,1,12,0.3836355515680582,0.24952845783156177,0.44739168393689005,0.5012101233182742,0.46595038809413314,,,0.40954324094978345
75,bert-base-uncased,_concat_cls_layer_with_mean_pooling_9,1,12,0.3430795141081474,0.21064994932384015,0.3674471935574084,0.40757894186758226,0.42370826513248006,,,0.35049277279789165
76,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_9,1,12,0.3430795141081474,0.21064994932384015,0.3674471935574084,0.40757894186758226,0.42370826513248006,,,0.35049277279789165
77,bert-base-uncased,_concat_3_tokens_mean_pooling_9,1,12,0.3448481298100446,0.16486404067170904,0.3568496835037765,0.4386246124017582,0.35232836869986645,,,0.3315029670174309
78,bert-base-uncased,_concat_5_tokens_mean_pooling_9,1,12,0.31534298434251967,0.1163821170807593,0.3048591752646544,0.37847488403574986,0.32189926702942045,,,0.2873916855506208
79,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_9,1,12,0.3448481298100446,0.16486404067170904,0.3568496835037765,0.4386246124017582,0.35232836869986645,,,0.3315029670174309
80,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_9,1,12,0.31534298434251967,0.1163821170807593,0.3048591752646544,0.37847488403574986,0.32189926702942045,,,0.2873916855506208
81,bert-base-uncased,_cls_layer_10,1,12,0.25495362399918664,0.18543605043546177,0.25825569679021315,0.2931057923535135,0.3625159457772419,,,0.2708534218711233
82,bert-base-uncased,_mean_pooling_10,1,12,0.39852106581918967,0.30610148514511787,0.47901354853618505,0.5239332665862253,0.511117021653831,,,0.44373727754810977
83,bert-base-uncased,_mean_pooling_no_cls_and_sep_10,1,12,0.39852106581918967,0.30610148514511787,0.47901354853618505,0.5239332665862253,0.511117021653831,,,0.44373727754810977
84,bert-base-uncased,_concat_cls_layer_with_mean_pooling_10,1,12,0.3390911472079764,0.23625282135421521,0.3744869894016083,0.4187339272289134,0.449444174711526,,,0.36360181198084784
85,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_10,1,12,0.3390911472079764,0.23625282135421521,0.3744869894016083,0.4187339272289134,0.449444174711526,,,0.36360181198084784
86,bert-base-uncased,_concat_3_tokens_mean_pooling_10,1,12,0.359933606535279,0.2186035864268633,0.3956898644938908,0.4689593246275631,0.40364367527831424,,,0.3693660114723821
87,bert-base-uncased,_concat_5_tokens_mean_pooling_10,1,12,0.32778532160946383,0.17660607546564785,0.3412667680839833,0.41151901347351927,0.369204402475233,,,0.3252763162215695
88,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_10,1,12,0.359933606535279,0.2186035864268633,0.3956898644938908,0.4689593246275631,0.40364367527831424,,,0.3693660114723821
89,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_10,1,12,0.32778532160946383,0.17660607546564785,0.3412667680839833,0.41151901347351927,0.369204402475233,,,0.3252763162215695
90,bert-base-uncased,_cls_layer_11,1,12,0.252731004014695,0.18775475418006696,0.27651187978366126,0.3449296074074274,0.404321303306865,,,0.2932497097385431
91,bert-base-uncased,_mean_pooling_11,1,12,0.40346594119357143,0.3364655518670596,0.49422382212738863,0.5319203389010276,0.5440378100267689,,,0.4620226928231633
92,bert-base-uncased,_mean_pooling_no_cls_and_sep_11,1,12,0.40346594119357143,0.3364655518670596,0.49422382212738863,0.5319203389010276,0.5440378100267689,,,0.4620226928231633
93,bert-base-uncased,_concat_cls_layer_with_mean_pooling_11,1,12,0.3454172394905434,0.25949389783068194,0.4115366052285254,0.46085354845607124,0.49524504095245286,,,0.394509266391655
94,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_11,1,12,0.3454172394905434,0.25949389783068194,0.4115366052285254,0.46085354845607124,0.49524504095245286,,,0.394509266391655
