Modelo,Pooling,out_emb_size,Nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC
bert-base,MAX_LYR-8,torch.Size([768]),0,"{'devacc': np.float64(75.38), 'acc': np.float64(74.49), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(73.12), 'acc': np.float64(73.4), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.33), 'acc': np.float64(91.67), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.94), 'acc': np.float64(87.24), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.08), 'acc': 80.83, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.23), 'acc': 44.03, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(80.41), 'acc': 87.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.82), 'acc': 70.96, 'f1': 79.69, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG-NS_LYR-8,torch.Size([768]),0,"{'devacc': np.float64(80.16), 'acc': np.float64(79.74), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.59), 'acc': np.float64(82.65), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.49), 'acc': np.float64(94.16), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.09), 'acc': np.float64(88.79), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.98), 'acc': 84.73, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(46.23), 'acc': 44.84, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.0), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.09), 'acc': 74.26, 'f1': 82.27, 'ndev': 4076, 'ntest': 1725}"
bert-base,SUM-NS_LYR-8,torch.Size([768]),0,"{'devacc': np.float64(77.53), 'acc': np.float64(76.8), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.83), 'acc': np.float64(81.56), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.72), 'acc': np.float64(93.44), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.61), 'acc': np.float64(87.55), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.4), 'acc': 83.2, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.05), 'acc': 42.94, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.53), 'acc': 90.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(66.27), 'acc': 64.0, 'f1': 75.15, 'ndev': 4076, 'ntest': 1725}"
bert-base,MAX-NS_LYR-8,torch.Size([768]),0,"{'devacc': np.float64(75.55), 'acc': np.float64(74.97), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(74.73), 'acc': np.float64(76.05), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.38), 'acc': np.float64(91.73), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.44), 'acc': np.float64(87.15), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.88), 'acc': 81.6, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.42), 'acc': 41.49, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(80.78), 'acc': 89.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.35), 'acc': 69.51, 'f1': 78.81, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG_LYR-8,torch.Size([1536]),0,"{'devacc': np.float64(80.7), 'acc': np.float64(80.08), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.29), 'acc': np.float64(81.91), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.82), 'acc': np.float64(94.25), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.3), 'acc': np.float64(88.95), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.55), 'acc': 85.5, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.6), 'acc': 46.47, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.6), 'acc': 91.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.48), 'acc': 75.36, 'f1': 83.01, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+SUM_LYR-8,torch.Size([1536]),0,"{'devacc': np.float64(78.42), 'acc': np.float64(76.75), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.53), 'acc': np.float64(82.28), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.96), 'acc': np.float64(93.57), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.65), 'acc': np.float64(88.05), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.75), 'acc': 84.95, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.33), 'acc': 42.76, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(86.33), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.94), 'acc': 61.62, 'f1': 72.39, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+MAX_LYR-8,torch.Size([1536]),0,"{'devacc': np.float64(78.35), 'acc': np.float64(78.09), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.73), 'acc': np.float64(78.22), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.86), 'acc': np.float64(93.52), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.4), 'acc': np.float64(87.95), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.29), 'acc': 85.72, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.05), 'acc': 44.71, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.9), 'acc': 92.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.41), 'acc': 71.01, 'f1': 81.43, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG-NS_LYR-8,torch.Size([1536]),0,"{'devacc': np.float64(80.7), 'acc': np.float64(80.39), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.45), 'acc': np.float64(82.59), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.85), 'acc': np.float64(94.34), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.5), 'acc': np.float64(89.22), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.67), 'acc': 86.33, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.78), 'acc': 45.66, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.49), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.61), 'acc': 74.78, 'f1': 82.11, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+SUM-NS_LYR-8,torch.Size([1536]),0,"{'devacc': np.float64(78.23), 'acc': np.float64(77.15), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.56), 'acc': np.float64(82.33), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.01), 'acc': np.float64(93.6), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.78), 'acc': np.float64(88.21), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.75), 'acc': 84.35, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.69), 'acc': 44.71, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.89), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.99), 'acc': 61.57, 'f1': 72.25, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+MAX-NS_LYR-8,torch.Size([1536]),0,"{'devacc': np.float64(78.42), 'acc': np.float64(77.99), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.75), 'acc': np.float64(78.75), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.93), 'acc': np.float64(93.62), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.8), 'acc': np.float64(88.47), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.63), 'acc': 85.61, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.96), 'acc': 44.98, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.65), 'acc': 92.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.48), 'acc': 70.9, 'f1': 81.31, 'ndev': 4076, 'ntest': 1725}"
