,Modelo,Pooling,out_emb_size,epochs,qtd_layers,nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
49,bert-base,DY5_LYR-9,torch.Size([3840]),1,12,0,81.79,86.25,95.1,88.56,83.14,45.52,93.8,68.75,80.36375,85.34142857142857
50,bert-base,DY5-NS_LYR-9,torch.Size([3840]),1,12,0,81.62,86.6,95.02,68.77,50.08,45.25,93.6,65.68,73.32749999999999,77.33857142857141
51,bert-base,CLS_LYR-10,torch.Size([768]),1,12,0,81.21,82.83,94.1,87.08,86.44,44.89,83.8,70.32,78.83374999999998,83.68285714285715
52,bert-base,AVG_LYR-10,torch.Size([768]),1,12,0,80.76,85.27,94.2,88.05,85.94,45.7,88.8,74.14,80.3575,85.30857142857143
53,bert-base,SUM_LYR-10,torch.Size([768]),1,12,0,78.22,83.97,93.56,87.51,85.61,41.31,90.2,68.29,78.58375,83.90857142857143
54,bert-base,MAX_LYR-10,torch.Size([768]),1,12,0,78.96,78.97,93.17,87.26,84.62,45.2,89.0,71.65,78.60375,83.37571428571428
55,bert-base,AVG-NS_LYR-10,torch.Size([768]),1,12,0,80.84,85.06,94.09,87.87,85.72,47.38,89.0,73.45,80.42625000000001,85.14714285714287
56,bert-base,SUM-NS_LYR-10,torch.Size([768]),1,12,0,76.95,83.39,93.68,86.58,84.62,43.98,90.8,66.96,78.37,83.28285714285714
57,bert-base,MAX-NS_LYR-10,torch.Size([768]),1,12,0,78.51,79.31,92.89,86.82,84.29,44.75,89.4,70.61,78.3225,83.11857142857143
58,bert-base,CLS+AVG_LYR-10,torch.Size([1536]),1,12,0,82.29,85.64,94.85,88.67,87.31,47.87,90.8,75.13,81.57,86.38428571428571
59,bert-base,CLS+SUM_LYR-10,torch.Size([1536]),1,12,0,77.92,83.71,93.78,88.27,86.77,43.71,89.4,68.23,78.97375,84.01142857142858
60,bert-base,CLS+MAX_LYR-10,torch.Size([1536]),1,12,0,81.63,85.17,94.4,88.22,86.82,46.56,90.4,70.96,80.52000000000001,85.3714285714286
61,bert-base,CLS+AVG-NS_LYR-10,torch.Size([1536]),1,12,0,82.22,84.85,94.88,89.04,87.26,48.01,91.0,75.25,81.56375,86.35714285714286
62,bert-base,CLS+SUM-NS_LYR-10,torch.Size([1536]),1,12,0,78.51,83.42,93.84,88.45,86.16,44.43,89.6,68.64,79.13125,84.08857142857143
63,bert-base,CLS+MAX-NS_LYR-10,torch.Size([1536]),1,12,0,81.71,83.74,94.61,88.29,87.1,46.74,90.6,72.06,80.60625000000002,85.44428571428573
64,bert-base,DY3_LYR-10,torch.Size([2304]),1,12,0,81.47,86.57,94.64,88.89,84.18,46.43,91.2,72.06,80.68,85.57285714285715
65,bert-base,DY3-NS_LYR-10,torch.Size([2304]),1,12,0,81.27,86.78,95.03,88.68,83.96,46.74,91.2,70.03,80.46125,85.27857142857144
