,Modelo,Pooling,out_emb_size,epochs,qtd_layers,nhid,STS12,STS13,STS14,STS15,STS16,Avg
18,bert-base,AVG_LYR-8,torch.Size([768]),1,12,0,51.65313227987104,45.89868071139776,56.73310710164438,63.29366093686109,60.897060766877665,55.69512835933038
19,bert-base,SUM_LYR-8,torch.Size([768]),1,12,0,51.65313496355537,45.89868489082743,56.73310453731919,63.29365916048031,60.89705385360793,55.695127481158046
20,bert-base,MAX_LYR-8,torch.Size([768]),1,12,0,49.23374097691749,40.68738589438648,55.77605192741757,60.543330857873315,56.31589946899658,52.511281825118296
21,bert-base,AVG-NS_LYR-8,torch.Size([768]),1,12,0,52.04922263028971,47.0180574590876,57.610297542970876,63.68211683253754,60.49333954972036,56.17060680292121
22,bert-base,SUM-NS_LYR-8,torch.Size([768]),1,12,0,52.04921587510316,47.01805870310758,57.61029659300988,63.68211660763413,60.493348653405135,56.17060728645198
23,bert-base,MAX-NS_LYR-8,torch.Size([768]),1,12,0,47.91953532316551,41.018765765568574,54.86284694432078,59.05036895778386,54.290463264683886,51.428396051104514
24,bert-base,CLS+AVG_LYR-8,torch.Size([1536]),1,12,0,38.440945789357464,29.31152927988203,40.523680266781895,45.055052113711085,48.82860022164665,40.43196153427582
25,bert-base,CLS+SUM_LYR-8,torch.Size([1536]),1,12,0,51.501627903046696,45.398132063792254,56.397531573221514,63.176769273243295,60.860102192312894,55.466832601123336
26,bert-base,CLS+MAX_LYR-8,torch.Size([1536]),1,12,0,44.668028869134716,34.05568306007577,48.2871494534061,53.33917251630882,53.33614581360515,46.73723594250611
27,bert-base,CLS+AVG-NS_LYR-8,torch.Size([1536]),1,12,0,39.83598811870208,31.009743384231676,42.36126419282132,46.83405498723719,49.85613280338173,41.9794366972748
28,bert-base,CLS+SUM-NS_LYR-8,torch.Size([1536]),1,12,0,51.907436090565206,46.41920559772028,57.236307522542795,63.59735377713231,60.55238989790374,55.942538577172876
29,bert-base,CLS+MAX-NS_LYR-8,torch.Size([1536]),1,12,0,44.442939242157166,34.86358073678619,48.50562353702414,53.232706865268284,52.756469230062294,46.76026392225962
30,bert-base,DY3_LYR-8,torch.Size([2304]),1,12,0,43.46730638931675,23.525835907616074,38.882652534804826,50.91479956582725,41.89471900105115,39.73706267972321
31,bert-base,DY3-NS_LYR-8,torch.Size([2304]),1,12,0,44.616305813664425,27.171479079297907,41.408181761015484,51.352400934310104,44.904498814699586,41.89057328059751
32,bert-base,DY5_LYR-8,torch.Size([3840]),1,12,0,39.56899630472866,19.851106229224676,31.59358166980399,44.83650776970742,30.362244959346356,33.24248738656222
33,bert-base,DY5-NS_LYR-8,torch.Size([3840]),1,12,0,41.45979959333109,24.76816004360347,31.98166989695141,46.93526006541761,37.469285060272504,36.52283493191521
34,bert-base,CLS_LYR-9,torch.Size([768]),1,12,0,26.305143517686442,18.876752797070058,25.994437691685697,28.63853309452623,35.54506079754908,27.0719855797035
35,bert-base,AVG_LYR-9,torch.Size([768]),1,12,0,47.53642940052451,45.664017284274536,54.18487541233118,62.43343584174621,59.53673592413566,53.87109877260242
36,bert-base,SUM_LYR-9,torch.Size([768]),1,12,0,47.53642961109074,45.66401105683933,54.18487382589494,62.43343512481809,59.536731866500034,53.87109629702862
37,bert-base,MAX_LYR-9,torch.Size([768]),1,12,0,47.16111023979819,39.840014204548204,53.323546211945605,59.89158822612003,55.18521445464016,51.08029466741044
38,bert-base,AVG-NS_LYR-9,torch.Size([768]),1,12,0,48.554119808493795,46.91992163935111,55.384730740893126,63.295691555189215,59.625325627869806,54.75595787435941
39,bert-base,SUM-NS_LYR-9,torch.Size([768]),1,12,0,48.554116647737885,46.919930487425,55.384733340763944,63.29568858721488,59.625322655874804,54.75595834380331
40,bert-base,MAX-NS_LYR-9,torch.Size([768]),1,12,0,46.110020328646215,40.379591221605395,52.94971187518646,58.887288347107855,53.928118952889925,50.450946145087165
41,bert-base,CLS+AVG_LYR-9,torch.Size([1536]),1,12,0,35.67887409471705,29.625801669180845,38.0024566785692,44.425523683441675,48.05102872333599,39.15673696984895
42,bert-base,CLS+SUM_LYR-9,torch.Size([1536]),1,12,0,47.37555368177312,45.2237720357817,53.87541736558558,62.28394011387983,59.46774320078012,53.64528527956006
43,bert-base,CLS+MAX_LYR-9,torch.Size([1536]),1,12,0,41.44240399373677,32.58671290861335,44.254298622450875,50.23099052885793,50.83325345297076,43.86953190132594
44,bert-base,CLS+AVG-NS_LYR-9,torch.Size([1536]),1,12,0,36.92718801958207,31.113318321047334,39.53988189797095,46.043132212935454,49.10932228570133,40.54656854744743
45,bert-base,CLS+SUM-NS_LYR-9,torch.Size([1536]),1,12,0,48.36930392389889,46.38038445958723,55.0236369813519,63.148483631747524,59.60302474563879,54.50496674844487
46,bert-base,CLS+MAX-NS_LYR-9,torch.Size([1536]),1,12,0,41.44865717904073,33.35315240556051,44.72038032144645,50.42091335068116,50.726928239224534,44.13400629919067
