Modelo,Pooling,out_emb_size,Nhid,CR
bert-base,AVG-NS_SUML4L,torch.Size([768]),0,"{'devacc': np.float64(87.5), 'acc': np.float64(85.61), 'ndev': 3775, 'ntest': 3775}"
bert-base,SUM-NS_SUML4L,torch.Size([768]),0,"{'devacc': np.float64(84.08), 'acc': np.float64(83.15), 'ndev': 3775, 'ntest': 3775}"
bert-base,MAX-NS_SUML4L,torch.Size([768]),0,"{'devacc': np.float64(79.55), 'acc': np.float64(76.08), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+AVG_SUML4L,torch.Size([1536]),0,"{'devacc': np.float64(87.4), 'acc': np.float64(85.99), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+SUM_SUML4L,torch.Size([1536]),0,"{'devacc': np.float64(84.58), 'acc': np.float64(83.84), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+MAX_SUML4L,torch.Size([1536]),0,"{'devacc': np.float64(85.56), 'acc': np.float64(83.81), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+AVG-NS_SUML4L,torch.Size([1536]),0,"{'devacc': np.float64(87.5), 'acc': np.float64(85.77), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+SUM-NS_SUML4L,torch.Size([1536]),0,"{'devacc': np.float64(84.46), 'acc': np.float64(83.36), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+MAX-NS_SUML4L,torch.Size([1536]),0,"{'devacc': np.float64(85.45), 'acc': np.float64(83.73), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY3_SUML4L,torch.Size([2304]),0,"{'devacc': np.float64(87.54), 'acc': np.float64(85.46), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY3-NS_SUML4L,torch.Size([2304]),0,"{'devacc': np.float64(87.24), 'acc': np.float64(86.46), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY5_SUML4L,torch.Size([3840]),0,"{'devacc': np.float64(87.54), 'acc': np.float64(86.07), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY5-NS_SUML4L,torch.Size([3840]),0,"{'devacc': np.float64(87.41), 'acc': np.float64(86.2), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS_AVGL4L,torch.Size([768]),0,"{'devacc': np.float64(84.88), 'acc': np.float64(84.61), 'ndev': 3775, 'ntest': 3775}"
bert-base,AVG_AVGL4L,torch.Size([768]),0,"{'devacc': np.float64(86.93), 'acc': np.float64(85.06), 'ndev': 3775, 'ntest': 3775}"
bert-base,SUM_AVGL4L,torch.Size([768]),0,"{'devacc': np.float64(85.51), 'acc': np.float64(84.21), 'ndev': 3775, 'ntest': 3775}"
bert-base,MAX_AVGL4L,torch.Size([768]),0,"{'devacc': np.float64(78.68), 'acc': np.float64(78.44), 'ndev': 3775, 'ntest': 3775}"
bert-base,AVG-NS_AVGL4L,torch.Size([768]),0,"{'devacc': np.float64(86.98), 'acc': np.float64(84.69), 'ndev': 3775, 'ntest': 3775}"
bert-base,SUM-NS_AVGL4L,torch.Size([768]),0,"{'devacc': np.float64(85.48), 'acc': np.float64(84.21), 'ndev': 3775, 'ntest': 3775}"
bert-base,MAX-NS_AVGL4L,torch.Size([768]),0,"{'devacc': np.float64(79.88), 'acc': np.float64(80.24), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+AVG_AVGL4L,torch.Size([1536]),0,"{'devacc': np.float64(87.07), 'acc': np.float64(84.98), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+SUM_AVGL4L,torch.Size([1536]),0,"{'devacc': np.float64(85.58), 'acc': np.float64(84.77), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+MAX_AVGL4L,torch.Size([1536]),0,"{'devacc': np.float64(85.42), 'acc': np.float64(83.71), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+AVG-NS_AVGL4L,torch.Size([1536]),0,"{'devacc': np.float64(87.06), 'acc': np.float64(85.67), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+SUM-NS_AVGL4L,torch.Size([1536]),0,"{'devacc': np.float64(85.42), 'acc': np.float64(84.27), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+MAX-NS_AVGL4L,torch.Size([1536]),0,"{'devacc': np.float64(85.24), 'acc': np.float64(84.53), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY3_AVGL4L,torch.Size([2304]),0,"{'devacc': np.float64(87.27), 'acc': np.float64(85.22), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY3-NS_AVGL4L,torch.Size([2304]),0,"{'devacc': np.float64(87.3), 'acc': np.float64(86.31), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY5_AVGL4L,torch.Size([3840]),0,"{'devacc': np.float64(87.92), 'acc': np.float64(86.94), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY5-NS_AVGL4L,torch.Size([3840]),0,"{'devacc': np.float64(87.62), 'acc': np.float64(86.41), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS_SUMALL,torch.Size([768]),0,"{'devacc': np.float64(83.51), 'acc': np.float64(82.86), 'ndev': 3775, 'ntest': 3775}"
bert-base,AVG_SUMALL,torch.Size([768]),0,"{'devacc': np.float64(85.19), 'acc': np.float64(83.34), 'ndev': 3775, 'ntest': 3775}"
bert-base,SUM_SUMALL,torch.Size([768]),0,"{'devacc': np.float64(80.77), 'acc': np.float64(79.81), 'ndev': 3775, 'ntest': 3775}"
bert-base,MAX_SUMALL,torch.Size([768]),0,"{'devacc': np.float64(65.22), 'acc': np.float64(63.47), 'ndev': 3775, 'ntest': 3775}"
bert-base,AVG-NS_SUMALL,torch.Size([768]),0,"{'devacc': np.float64(84.95), 'acc': np.float64(83.63), 'ndev': 3775, 'ntest': 3775}"
bert-base,SUM-NS_SUMALL,torch.Size([768]),0,"{'devacc': np.float64(80.59), 'acc': np.float64(80.29), 'ndev': 3775, 'ntest': 3775}"
bert-base,MAX-NS_SUMALL,torch.Size([768]),0,"{'devacc': np.float64(65.56), 'acc': np.float64(64.93), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+AVG_SUMALL,torch.Size([1536]),0,"{'devacc': np.float64(84.64), 'acc': np.float64(84.11), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+SUM_SUMALL,torch.Size([1536]),0,"{'devacc': np.float64(82.76), 'acc': np.float64(81.67), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+MAX_SUMALL,torch.Size([1536]),0,"{'devacc': np.float64(77.51), 'acc': np.float64(74.09), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+AVG-NS_SUMALL,torch.Size([1536]),0,"{'devacc': np.float64(85.24), 'acc': np.float64(83.63), 'ndev': 3775, 'ntest': 3775}"
