Modelo,Pooling,Nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC
bert-large-uncased,_mean-2,0,"{'devacc': np.float64(75.08), 'acc': np.float64(73.98), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(76.66), 'acc': np.float64(74.94), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.59), 'acc': np.float64(91.04), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.1), 'acc': np.float64(87.46), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.7), 'acc': 81.22, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.24), 'acc': 41.31, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(76.74), 'acc': 81.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.11), 'acc': 72.17, 'f1': 81.16, 'ndev': 4076, 'ntest': 1725}"
bert-large-uncased,_mean_exclude_cls_sep-2,0,"{'devacc': np.float64(75.24), 'acc': np.float64(74.56), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.59), 'acc': np.float64(74.73), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.64), 'acc': np.float64(90.81), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.45), 'acc': np.float64(88.23), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.05), 'acc': 81.33, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.33), 'acc': 40.72, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(77.22), 'acc': 83.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.14), 'acc': 72.58, 'f1': 81.41, 'ndev': 4076, 'ntest': 1725}"
bert-large-uncased,_concat_cls_with_mean-2,0,"{'devacc': np.float64(75.16), 'acc': np.float64(73.58), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.9), 'acc': np.float64(77.4), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.76), 'acc': np.float64(90.92), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.14), 'acc': np.float64(87.88), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.93), 'acc': 81.0, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.33), 'acc': 42.4, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(77.7), 'acc': 81.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.55), 'acc': 72.93, 'f1': 81.33, 'ndev': 4076, 'ntest': 1725}"
bert-large-uncased,_concat_cls_with_mean_exclude_cls_sep-2,0,"{'devacc': np.float64(75.18), 'acc': np.float64(73.78), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.08), 'acc': np.float64(77.62), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.82), 'acc': np.float64(90.79), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.48), 'acc': np.float64(87.99), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.7), 'acc': 81.16, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(40.96), 'acc': 42.67, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(77.68), 'acc': 81.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.6), 'acc': 72.12, 'f1': 81.28, 'ndev': 4076, 'ntest': 1725}"
bert-large-uncased,_concat_mean_3_tokens-2,0,"{'devacc': np.float64(76.08), 'acc': np.float64(75.52), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.14), 'acc': np.float64(79.68), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.22), 'acc': np.float64(91.83), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.54), 'acc': np.float64(88.37), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.8), 'acc': 78.36, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.33), 'acc': 40.41, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.0), 'acc': 84.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.98), 'acc': 69.33, 'f1': 77.93, 'ndev': 4076, 'ntest': 1725}"
bert-large-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-2,0,"{'devacc': np.float64(75.71), 'acc': np.float64(75.28), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.11), 'acc': np.float64(78.36), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.2), 'acc': np.float64(91.92), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.37), 'acc': np.float64(87.84), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.69), 'acc': 78.14, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(40.42), 'acc': 41.27, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.38), 'acc': 86.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.59), 'acc': 69.1, 'f1': 76.49, 'ndev': 4076, 'ntest': 1725}"
bert-large-uncased,_concat_mean_5_tokens-2,0,"{'devacc': np.float64(75.99), 'acc': np.float64(75.5), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.17), 'acc': np.float64(78.94), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.32), 'acc': np.float64(92.04), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.78), 'acc': np.float64(87.49), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.72), 'acc': 78.09, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(40.15), 'acc': 40.72, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.51), 'acc': 87.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.17), 'acc': 69.45, 'f1': 78.2, 'ndev': 4076, 'ntest': 1725}"
bert-large-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-2,0,"{'devacc': np.float64(75.79), 'acc': np.float64(75.42), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.82), 'acc': np.float64(78.31), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.29), 'acc': np.float64(92.18), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(49.08), 'acc': 50.08, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(40.33), 'acc': 40.23, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.12), 'acc': 87.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.57), 'acc': 66.61, 'f1': 75.53, 'ndev': 4076, 'ntest': 1725}"
bert-large-uncased,_cls-3,0,"{'devacc': np.float64(69.71), 'acc': np.float64(68.67), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(89.08), 'acc': np.float64(88.75), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(82.17), 'acc': np.float64(82.73), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.57), 'acc': 77.16, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(34.79), 'acc': 35.93, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(63.17), 'acc': 65.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.62), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
bert-large-uncased,_mean-3,0,"{'devacc': np.float64(75.37), 'acc': np.float64(73.68), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(76.76), 'acc': np.float64(75.07), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.16), 'acc': np.float64(91.48), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.17), 'acc': np.float64(87.88), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.16), 'acc': 81.0, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.78), 'acc': 41.81, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(77.59), 'acc': 82.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.84), 'acc': 71.83, 'f1': 81.19, 'ndev': 4076, 'ntest': 1725}"
