,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
192,answerdotai/ModernBERT-base,_concat_cls_with_mean-22,0,1,22,74.71,77.54,92.56,78.72,82.8,37.78,78.85,67.54,73.8125,78.96
193,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-22,0,1,22,74.9,78.15,92.47,79.24,81.77,39.33,81.02,67.22,74.2625,79.25285714285714
194,answerdotai/ModernBERT-base,_concat_mean_3_tokens-22,0,1,22,74.86,78.92,92.61,80.06,79.47,42.42,85.27,67.93,75.1925,79.8742857142857
195,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-22,0,1,22,74.86,78.95,92.39,80.59,80.62,42.05,84.78,67.64,75.235,79.97571428571428
196,answerdotai/ModernBERT-base,_concat_mean_5_tokens-22,0,1,22,74.07,79.05,92.23,80.14,79.01,37.06,84.94,67.42,74.24,79.55142857142857
197,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-22,0,1,22,73.44,78.41,92.17,68.77,80.73,39.96,83.91,68.18,73.19624999999999,77.9442857142857
198,answerdotai/ModernBERT-base,cls_last4,0,1,22,67.21,67.97,86.34,71.03,75.0,29.52,55.76,67.32,65.01875,70.09
199,answerdotai/ModernBERT-base,mean_last4,0,1,22,73.04,72.72,90.64,76.74,82.57,36.06,77.57,67.59,72.11625,77.26714285714286
200,answerdotai/ModernBERT-base,mean_exclude_cls_sep_last4,0,1,22,73.6,76.78,90.84,78.83,82.45,35.97,78.71,67.64,73.1025,78.40714285714286
201,answerdotai/ModernBERT-base,concat_cls_with_mean_last4,0,1,22,72.02,76.24,91.35,77.19,80.85,38.06,76.6,67.64,72.49374999999999,77.41285714285713
202,answerdotai/ModernBERT-base,concat_cls_with_mean_exclude_cls_sep_last4,0,1,22,72.88,77.51,91.43,78.11,82.0,39.42,77.07,67.54,73.245,78.07714285714285
203,answerdotai/ModernBERT-base,concat_mean_3_tokens_last4,0,1,22,72.73,78.86,91.84,78.63,79.01,39.33,81.71,67.66,73.72125,78.63428571428571
204,answerdotai/ModernBERT-base,concat_mean_3_tokens_exclude_cls_and_sep_last4,0,1,22,72.48,78.45,91.76,79.65,79.59,39.06,81.57,67.57,73.76625000000001,78.72428571428573
205,answerdotai/ModernBERT-base,concat_mean_5_tokens_last4,0,1,22,72.96,78.61,91.91,79.4,79.82,37.6,83.79,67.71,73.97500000000001,79.17142857142858
206,answerdotai/ModernBERT-base,concat_mean_5_tokens_exclude_cls_and_sep_last4,0,1,22,72.46,78.01,91.66,68.77,80.73,38.78,82.59,66.71,72.46375,77.2757142857143
207,answerdotai/ModernBERT-base,cls_sumall,0,1,22,65.81,67.01,86.01,70.24,76.15,29.06,55.5,67.25,64.62875,69.71000000000001
208,answerdotai/ModernBERT-base,mean_sumall,0,1,22,73.06,74.37,89.85,76.81,82.22,34.33,74.36,67.59,71.57375,76.89428571428573
209,answerdotai/ModernBERT-base,mean_exclude_cls_sep_sumall,0,1,22,73.4,76.91,90.41,80.53,84.52,36.6,78.47,67.64,73.56,78.84
210,answerdotai/ModernBERT-base,concat_cls_with_mean_sumall,0,1,22,72.4,76.81,91.06,77.9,81.31,36.88,73.66,67.66,72.21,77.25714285714285
211,answerdotai/ModernBERT-base,concat_cls_with_mean_exclude_cls_sep_sumall,0,1,22,72.73,78.57,91.13,80.02,83.49,37.78,77.75,67.44,73.61375000000001,78.73285714285714
212,answerdotai/ModernBERT-base,concat_mean_3_tokens_sumall,0,1,22,73.39,80.42,91.62,80.4,80.73,39.78,81.84,67.91,74.51125,79.47285714285715
213,answerdotai/ModernBERT-base,concat_mean_3_tokens_exclude_cls_and_sep_sumall,0,1,22,73.26,80.25,91.4,80.76,79.47,38.24,81.77,67.69,74.10499999999999,79.22857142857141
214,answerdotai/ModernBERT-base,concat_mean_5_tokens_sumall,0,1,22,73.5,79.88,91.62,81.23,81.31,38.24,83.55,67.22,74.56875000000001,79.75857142857144
215,answerdotai/ModernBERT-base,concat_mean_5_tokens_exclude_cls_and_sep_sumall,0,1,22,73.56,79.67,91.58,68.77,81.42,38.06,82.96,66.54,72.82,77.78571428571429
